year,Rank,name,Points,GD,GF,GA,Win,Draw,Loss,g_age,g_total_value,g_avg_value,d_age,d_total_value,d_avg_value,m_age,m_total_value,m_avg_value,a_age,a_total_value,a_avg_value,link
2006,16,fulham,39,-22,38,60,8,15,15,"29,00",£8.10m,£1.62m,"24,18",£16.65m,£1.51m,"26,92",£30.49m,£2.35m,"26,50",£18.90m,£2.36m,/fc-fulham/startseite/verein/931/saison_id/2006
2006,17,wigan athletic,38,-22,37,59,10,8,20,"31,75",£4.23m,£1.06m,"26,50",£22.74m,£1.62m,"24,00",£16.09m,£1.46m,"25,63",£16.83m,£2.10m,/wigan-athletic/startseite/verein/1071/saison_id/2006
2006,18,sheffield united,38,-23,32,55,10,8,20,"28,25",£3.60m,£900k,"26,94",£11.57m,£680k,"23,50",£4.68m,£468k,"23,83",£12.02m,£1.00m,/sheffield-united/startseite/verein/350/saison_id/2006
2006,19,charlton athletic,34,-26,34,60,8,10,20,"23,00",£4.12m,£824k,"25,75",£23.09m,£1.92m,"24,17",£21.33m,£1.78m,"25,00",£20.90m,£2.61m,/charlton-athletic/startseite/verein/358/saison_id/2006
2006,20,watford,28,-30,29,59,5,13,20,"26,50",£1.89m,£473k,"23,13",£5.24m,£350k,"22,77",£4.55m,£350k,"21,18",£5.29m,£481k,/fc-watford/startseite/verein/1010/saison_id/2006
2005,1,chelsea,91,50,72,22,29,4,5,"23,50",£21.76m,£5.44m,"24,00",£94.95m,£11.87m,"24,50",£117.00m,£11.70m,"24,50",£83.25m,£13.88m,/fc-chelsea/startseite/verein/631/saison_id/2005
2005,2,manchester united,83,38,72,34,25,8,5,"26,67",£8.33m,£2.78m,"23,58",£74.36m,£6.20m,"24,36",£73.80m,£6.71m,"22,50",£103.14m,£12.89m,/manchester-united/startseite/verein/985/saison_id/2005
2005,3,liverpool,82,32,57,25,25,7,6,"23,00",£9.50m,£2.37m,"23,31",£40.41m,£3.11m,"22,44",£54.09m,£6.01m,"24,27",£81.99m,£7.45m,/fc-liverpool/startseite/verein/31/saison_id/2005
2005,4,arsenal,67,37,68,31,20,7,11,"28,50",£4.66m,£1.16m,"22,58",£55.76m,£4.65m,"22,00",£56.77m,£5.16m,"21,20",£79.88m,£7.99m,/fc-arsenal/startseite/verein/11/saison_id/2005
2005,5,tottenham hotspur,65,15,53,38,18,11,9,"28,00",£7.61m,£3.80m,"25,30",£33.86m,£3.39m,"24,60",£48.44m,£4.84m,"22,38",£41.04m,£5.13m,/tottenham-hotspur/startseite/verein/148/saison_id/2005
2005,6,blackburn rovers,63,9,51,42,19,6,13,"31,00",£2.93m,£1.46m,"27,70",£24.53m,£2.45m,"25,56",£22.91m,£2.55m,"25,33",£13.28m,£2.21m,/blackburn-rovers/startseite/verein/164/saison_id/2005
2005,7,newcastle united,58,5,47,42,17,7,14,"29,50",£8.55m,£4.28m,"25,25",£23.90m,£2.99m,"24,08",£63.05m,£5.25m,"25,86",£50.09m,£7.16m,/newcastle-united/startseite/verein/762/saison_id/2005
2005,8,bolton wanderers,56,8,49,41,15,11,12,"24,60",£7.65m,£1.53m,"25,11",£8.64m,£960k,"25,71",£26.78m,£3.83m,"27,00",£22.10m,£2.46m,/bolton-wanderers/startseite/verein/355/saison_id/2005
2005,9,west ham united,55,-3,52,55,16,7,15,"27,20",£5.76m,£1.15m,"24,89",£15.21m,£1.69m,"22,09",£4.14m,£376k,"24,38",£16.65m,£2.08m,/west-ham-united/startseite/verein/379/saison_id/2005
