year,Rank,name,Points,GD,GF,GA,Win,Draw,Loss,g_age,g_total_value,g_avg_value,d_age,d_total_value,d_avg_value,m_age,m_total_value,m_avg_value,a_age,a_total_value,a_avg_value,link
2010,3,manchester city,71,27,60,33,21,8,9,"28,25",£17.10m,£4.28m,"21,95",£94.30m,£4.96m,"24,10",£100.04m,£10.00m,"23,58",£132.84m,£11.07m,/manchester-city/startseite/verein/281/saison_id/2010
2010,4,arsenal,68,29,72,43,19,11,8,"26,50",£12.13m,£2.02m,"23,89",£66.60m,£7.40m,"21,33",£112.14m,£9.35m,"23,43",£83.07m,£11.87m,/fc-arsenal/startseite/verein/11/saison_id/2010
2010,5,tottenham hotspur,62,9,55,46,16,14,8,"28,00",£12.67m,£2.53m,"24,29",£81.29m,£5.81m,"23,50",£92.34m,£9.23m,"24,78",£80.10m,£8.90m,/tottenham-hotspur/startseite/verein/148/saison_id/2010
2010,6,liverpool,58,15,59,44,17,7,14,"24,40",£21.24m,£4.25m,"22,73",£70.25m,£4.68m,"25,33",£122.58m,£13.62m,"22,62",£114.89m,£8.84m,/fc-liverpool/startseite/verein/31/saison_id/2010
2010,7,everton,54,6,51,45,13,15,10,"28,00",£11.88m,£3.96m,"24,70",£41.92m,£4.19m,"22,78",£69.98m,£7.78m,"22,90",£36.90m,£3.69m,/fc-everton/startseite/verein/29/saison_id/2010
2010,8,fulham,49,6,49,43,11,16,11,"30,00",£4.59m,£1.15m,"26,60",£30.24m,£3.02m,"28,45",£39.87m,£3.62m,"26,22",£26.06m,£2.90m,/fc-fulham/startseite/verein/931/saison_id/2010
2010,9,aston villa,48,-11,48,59,12,12,14,"33,00",£4.73m,£1.58m,"24,92",£62.93m,£4.84m,"24,00",£75.67m,£4.45m,"24,67",£43.65m,£7.28m,/aston-villa/startseite/verein/405/saison_id/2010
2010,10,sunderland,47,-11,45,56,12,11,15,"23,67",£7.43m,£2.48m,"24,88",£44.35m,£2.77m,"23,09",£46.04m,£4.19m,"22,33",£25.79m,£2.87m,/afc-sunderland/startseite/verein/289/saison_id/2010
2010,11,west bromwich albion,47,-15,56,71,12,11,15,"28,00",£7.18m,£1.79m,"24,80",£30.92m,£2.06m,"22,43",£13.50m,£1.93m,"23,27",£24.93m,£2.27m,/west-bromwich-albion/startseite/verein/984/saison_id/2010
2010,12,newcastle united,46,-1,56,57,11,13,14,"24,50",£3.11m,£776k,"24,70",£22.50m,£2.25m,"22,69",£48.74m,£3.75m,"23,55",£11.75m,£1.07m,/newcastle-united/startseite/verein/762/saison_id/2010
2010,13,stoke city,46,-2,46,48,13,7,18,"31,00",£5.18m,£1.73m,"25,92",£25.52m,£2.13m,"25,80",£17.15m,£1.71m,"28,38",£38.93m,£4.87m,/stoke-city/startseite/verein/512/saison_id/2010
2010,14,bolton wanderers,46,-4,52,56,12,10,16,"26,25",£5.22m,£1.31m,"26,90",£28.35m,£2.84m,"24,22",£24.53m,£2.73m,"24,73",£25.97m,£2.36m,/bolton-wanderers/startseite/verein/355/saison_id/2010
2010,15,blackburn rovers,43,-13,46,59,11,10,17,"26,25",£5.45m,£1.36m,"26,70",£20.97m,£2.10m,"23,19",£32.63m,£2.04m,"26,29",£26.55m,£3.79m,/blackburn-rovers/startseite/verein/164/saison_id/2010
2010,16,wigan athletic,42,-21,40,61,9,15,14,"28,00",£5.85m,£1.46m,"24,42",£20.03m,£1.67m,"22,40",£13.95m,£1.40m,"23,56",£25.07m,£2.79m,/wigan-athletic/startseite/verein/1071/saison_id/2010
2010,17,wolverhampton wanderers,40,-20,46,66,11,7,20,"30,00",£4.41m,£1.10m,"22,81",£23.36m,£1.46m,"23,30",£18.95m,£1.89m,"23,08",£22.41m,£1.87m,/wolverhampton-wanderers/startseite/verein/543/saison_id/2010
2010,18,birmingham city,39,-21,37,58,8,15,15,"30,00",£3.65m,£1.22m,"26,00",£22.73m,£2.27m,"24,73",£35.01m,£3.18m,"25,60",£31.23m,£3.12m,/birmingham-city/startseite/verein/337/saison_id/2010
2010,19,blackpool,39,-23,55,78,10,9,19,"25,20",£1.62m,£324k,"21,50",£7.11m,£508k,"21,08",£10.67m,£889k,"25,86",£14.90m,£1.06m,/fc-blackpool/startseite/verein/1181/saison_id/2010
2010,20,west ham united,33,-27,43,70,7,12,19,"22,00",£7.79m,£1.95m,"25,69",£37.40m,£2.88m,"26,89",£46.35m,£5.15m,"23,57",£51.53m,£3.68m,/west-ham-united/startseite/verein/379/saison_id/2010
2009,1,chelsea,86,71,103,32,27,5,6,"24,20",£27.23m,£5.45m,"25,82",£115.65m,£10.51m,"25,89",£155.75m,£17.31m,"23,45",£101.07m,£9.19m,/fc-chelsea/startseite/verein/631/saison_id/2009
2009,2,manchester united,85,58,86,28,27,4,7,"27,50",£10.44m,£2.61m,"24,50",£120.02m,£10.00m,"24,62",£92.07m,£7.08m,"21,36",£104.13m,£9.47m,/manchester-united/startseite/verein/985/saison_id/2009
2009,3,arsenal,75,42,83,41,23,6,9,"22,80",£10.71m,£2.14m,"23,53",£73.08m,£4.87m,"19,81",£93.06m,£5.82m,"21,56",£76.05m,£8.45m,/fc-arsenal/startseite/verein/11/saison_id/2009
2009,4,tottenham hotspur,70,26,67,41,21,7,10,"28,00",£9.41m,£1.88m,"23,00",£62.19m,£4.44m,"22,10",£71.24m,£7.12m,"22,58",£81.45m,£6.79m,/tottenham-hotspur/startseite/verein/148/saison_id/2009
2009,5,manchester city,67,28,73,45,18,13,7,"26,20",£16.70m,£3.34m,"23,86",£85.05m,£6.08m,"22,67",£59.18m,£6.58m,"24,58",£122.49m,£10.21m,/manchester-city/startseite/verein/281/saison_id/2009
2009,6,aston villa,64,13,52,39,17,13,8,"32,00",£4.95m,£1.65m,"26,08",£65.25m,£5.44m,"23,00",£43.61m,£3.96m,"25,80",£30.56m,£6.11m,/aston-villa/startseite/verein/405/saison_id/2009
2009,7,liverpool,63,26,61,35,18,9,11,"23,67",£18.90m,£6.30m,"23,00",£70.29m,£5.41m,"24,00",£95.94m,£13.71m,"24,18",£118.04m,£10.73m,/fc-liverpool/startseite/verein/31/saison_id/2009
2009,8,everton,61,11,60,49,16,13,9,"28,00",£8.73m,£2.18m,"23,63",£74.48m,£4.65m,"20,92",£65.66m,£5.47m,"22,80",£50.54m,£5.05m,/fc-everton/startseite/verein/29/saison_id/2009
2009,9,birmingham city,50,-9,38,47,13,11,14,"25,50",£7.74m,£1.94m,"26,36",£11.57m,£1.05m,"25,50",£19.62m,£1.64m,"24,56",£18.23m,£2.03m,/birmingham-city/startseite/verein/337/saison_id/2009
2009,10,blackburn rovers,50,-14,41,55,13,11,14,"25,25",£5.09m,£1.27m,"25,38",£27.45m,£2.11m,"25,36",£26.15m,£2.38m,"25,00",£22.59m,£3.23m,/blackburn-rovers/startseite/verein/164/saison_id/2009
2009,11,stoke city,47,-14,34,48,11,14,13,"24,00",£3.78m,£756k,"25,92",£24.03m,£1.85m,"23,62",£18.81m,£1.45m,"27,57",£22.50m,£3.21m,/stoke-city/startseite/verein/512/saison_id/2009
2009,12,fulham,46,-7,39,46,12,10,16,"32,33",£4.10m,£1.37m,"24,83",£24.08m,£2.01m,"24,56",£27.77m,£1.74m,"25,00",£27.59m,£2.51m,/fc-fulham/startseite/verein/931/saison_id/2009
2009,13,sunderland,44,-8,48,56,11,11,16,"24,33",£7.38m,£2.46m,"25,56",£57.20m,£3.57m,"22,20",£19.04m,£1.90m,"25,33",£34.92m,£3.88m,/afc-sunderland/startseite/verein/289/saison_id/2009
2009,14,bolton wanderers,39,-25,42,67,10,9,19,"27,33",£5.36m,£1.79m,"26,55",£28.17m,£2.56m,"24,20",£26.62m,£2.66m,"24,25",£16.65m,£2.08m,/bolton-wanderers/startseite/verein/355/saison_id/2009
2009,15,wolverhampton wanderers,38,-24,32,56,9,11,18,"27,50",£3.87m,£968k,"24,47",£20.12m,£1.34m,"24,43",£12.56m,£1.79m,"22,18",£17.19m,£1.56m,/wolverhampton-wanderers/startseite/verein/543/saison_id/2009
2009,16,wigan athletic,36,-42,37,79,9,9,20,"27,40",£6.48m,£1.30m,"27,20",£23.81m,£2.38m,"24,25",£15.03m,£1.25m,"23,11",£21.20m,£2.36m,/wigan-athletic/startseite/verein/1071/saison_id/2009
2009,17,west ham united,35,-19,47,66,8,11,19,"23,00",£7.34m,£2.45m,"23,82",£26.51m,£2.41m,"24,00",£42.93m,£4.29m,"23,73",£29.70m,£2.70m,/west-ham-united/startseite/verein/379/saison_id/2009
2009,18,burnley,30,-40,42,82,8,6,24,"29,67",£2.52m,£840k,"26,85",£12.78m,£983k,"22,00",£5.36m,£669k,"23,56",£13.95m,£1.55m,/fc-burnley/startseite/verein/1132/saison_id/2009
2009,19,hull city,30,-41,34,75,6,12,20,"30,67",£3.78m,£1.26m,"24,78",£16.16m,£1.80m,"26,53",£26.37m,£1.76m,"24,70",£21.78m,£2.18m,/hull-city/startseite/verein/3008/saison_id/2009
2009,20,portsmouth,28,-32,34,66,7,7,24,"28,40",£4.05m,£810k,"24,72",£32.81m,£1.82m,"25,55",£29.25m,£2.66m,"25,09",£23.76m,£2.16m,/fc-portsmouth/startseite/verein/1020/saison_id/2009
2008,1,manchester united,90,44,68,24,28,6,4,"25,00",£10.62m,£2.12m,"23,15",£76.41m,£5.88m,"22,86",£85.23m,£6.09m,"21,60",£150.66m,£15.07m,/manchester-united/startseite/verein/985/saison_id/2008
2008,2,liverpool,86,50,77,27,25,11,2,"22,20",£15.14m,£3.03m,"24,40",£50.18m,£5.02m,"23,43",£92.43m,£13.20m,"24,09",£103.91m,£9.45m,/fc-liverpool/startseite/verein/31/saison_id/2008
2008,3,chelsea,83,44,68,24,25,8,5,"27,50",£27.90m,£6.98m,"26,70",£111.02m,£11.10m,"25,67",£130.55m,£14.51m,"23,20",£117.72m,£11.77m,/fc-chelsea/startseite/verein/631/saison_id/2008
2008,4,arsenal,72,31,68,37,20,12,6,"23,00",£8.19m,£2.05m,"22,92",£71.15m,£5.93m,"19,27",£78.03m,£5.20m,"21,20",£69.75m,£6.98m,/fc-arsenal/startseite/verein/11/saison_id/2008
2008,5,everton,63,18,55,37,17,12,9,"29,00",£6.57m,£2.19m,"25,70",£41.67m,£4.17m,"21,20",£43.54m,£4.35m,"22,78",£55.67m,£6.19m,/fc-everton/startseite/verein/29/saison_id/2008
2008,6,aston villa,62,6,54,48,17,11,10,"29,00",£4.41m,£1.47m,"24,17",£42.48m,£3.54m,"22,45",£38.48m,£3.50m,"24,50",£26.19m,£4.37m,/aston-villa/startseite/verein/405/saison_id/2008
2008,7,fulham,53,5,39,34,14,11,13,"31,33",£3.83m,£1.28m,"23,67",£15.93m,£1.33m,"24,85",£23.40m,£1.80m,"25,80",£32.31m,£3.23m,/fc-fulham/startseite/verein/931/saison_id/2008
2008,8,tottenham hotspur,51,0,45,45,14,9,15,"27,00",£11.70m,£2.34m,"23,08",£56.70m,£4.73m,"21,79",£60.12m,£4.29m,"21,75",£95.99m,£8.00m,/tottenham-hotspur/startseite/verein/148/saison_id/2008
2008,9,west ham united,51,-3,42,45,14,9,15,"25,00",£7.07m,£1.41m,"23,93",£26.15m,£1.87m,"25,09",£45.14m,£4.10m,"23,30",£24.89m,£2.49m,/west-ham-united/startseite/verein/379/saison_id/2008
2008,10,manchester city,50,8,58,50,15,5,18,"24,67",£11.48m,£3.83m,"23,79",£63.72m,£4.55m,"23,13",£37.58m,£4.70m,"23,42",£109.35m,£9.11m,/manchester-city/startseite/verein/281/saison_id/2008
2008,11,wigan athletic,45,-11,34,45,12,9,17,"31,75",£4.86m,£1.22m,"26,50",£17.78m,£2.22m,"23,80",£21.20m,£1.41m,"24,50",£27.36m,£3.42m,/wigan-athletic/startseite/verein/1071/saison_id/2008
2008,12,stoke city,45,-17,38,55,12,9,17,"30,50",£4.05m,£2.03m,"24,94",£17.55m,£1.10m,"25,27",£13.41m,£1.22m,"27,11",£18.59m,£2.07m,/stoke-city/startseite/verein/512/saison_id/2008
2008,13,bolton wanderers,41,-12,41,53,11,8,19,"28,75",£6.03m,£1.51m,"24,00",£26.51m,£2.41m,"23,78",£21.29m,£2.37m,"25,33",£28.71m,£3.19m,/bolton-wanderers/startseite/verein/355/saison_id/2008
2008,14,portsmouth,41,-19,38,57,10,11,17,"28,33",£5.22m,£1.74m,"26,77",£44.10m,£3.39m,"26,60",£37.08m,£3.71m,"26,00",£50.45m,£5.04m,/fc-portsmouth/startseite/verein/1020/saison_id/2008
2008,15,blackburn rovers,41,-20,40,60,10,11,17,"25,67",£5.04m,£1.68m,"24,75",£28.13m,£2.34m,"24,64",£24.71m,£1.76m,"26,57",£27.68m,£3.95m,/blackburn-rovers/startseite/verein/164/saison_id/2008
2008,16,sunderland,36,-20,34,54,9,9,20,"29,50",£8.30m,£2.08m,"24,38",£41.40m,£2.59m,"22,25",£20.21m,£1.68m,"25,33",£39.11m,£3.26m,/afc-sunderland/startseite/verein/289/saison_id/2008
2008,17,hull city,35,-25,39,64,8,11,19,"29,67",£1.31m,£435k,"24,10",£10.19m,£1.02m,"27,00",£19.69m,£1.51m,"28,78",£13.70m,£1.52m,/hull-city/startseite/verein/3008/saison_id/2008
2008,18,newcastle united,34,-19,40,59,7,13,18,"26,25",£9.95m,£2.49m,"23,89",£26.87m,£2.99m,"23,64",£48.51m,£3.47m,"22,91",£44.37m,£4.03m,/newcastle-united/startseite/verein/762/saison_id/2008
